UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
St. Sinner,@retheeshraj10,2020-12-04T05:40:20.000Z,"Waiting for bhakt to spread this images as RSS worker’s rescue and relief operations during #CycloneBurevi ANI
@ANI
 · Dec 3
Kerala: A team of National Disaster Response Force deployed in Thiruvananthapuram's Valyathura,in view of #CycloneBurevi. Total 8 NDRF teams deployed in the state

'Burevi' expected to cross south Tamil Nadu coast b/w Pamban & Kanniyakumari during tonight & early morning tomorrow",2,154,16
MAS Ɍαιƞʍαƞ,@MasRainman,2020-12-04T05:21:29.000Z,"Good convergence happening along the coast and interiors due to stalled system at GOm.modeeate to isolated heavy spells can be expected.Chennai may wittness some intermittent heavy spells.
#chennairains #CycloneBurevi",,13,2
Bhagirathi,@BhagirathiCV,2020-12-04T05:07:20.000Z,"Omg tamilnadu is getting pounded with very rain 
@ChennaiRains
 #CycloneBureviPuthiyathalaimuraiTV
@PTTVOnlineNews
 · 7h
#BREAKING | தமிழகத்தில் 8 இடங்களில் அதிகனமழை...

கொள்ளிடம் - 36 செ.மீ

சிதம்பரம் - 34 செ.மீ

பரங்கிப்பேட்டை - 26 செ.மீ

மணல்மேடு - 25 செ.மீ

குறிஞ்சிப்பாடி - 25 செ.மீ

திருத்துறைப்பூண்டி - 22 செ.மீ

சீர்காழியில் 21 செ.மீ

குடவாசல் - 21 செ.மீ  மழை பதிவாகியுள்ளது

#TNRains",,1,1
shainu007,@shainu007,2020-12-04T04:58:43.000Z,"#CityEdition #trivandrum #CycloneBurevi 
@PulickalVincent
 @anilsanilan
 @NewIndianXpress
 @xpresskerala",,3,2
Pranav Valaboju,@PranavValaboju,2020-12-04T04:49:34.000Z,"#DeleteCheyBro 
#GHMCResults 
#CycloneBurevi 
#KaneWilliamson 
#Thalapathy 
#IndianNavyDay 
#DiljitVsKangana 
#SonsOfTheSoil 
#SushantSinghRajput 
#ps5stockuk #bikinichallange #CelebrityCyclone #COVIDー19 #방탄소년단진 #5दिसंबर_भारत_बंद #진생일ᄎᄏ #JINDAY #bbcqt #CriticalRole",1,,
dinakaranonline,@dinakaranonline,2020-12-04T04:42:13.000Z,#Today #Headlines #HotNews #CycloneBurevi,,7,1
Jagran English,@JagranEnglish,2020-12-04T04:33:43.000Z,"Visuals from #TamilNadu's Rameswaram as strong winds hit the region; sea turns rough in view of #CycloneBurevi 
: ANI

For more, follow: http://english.jagran.com",,,1
G Panneerselvam,@Er_Panneer,2020-12-04T04:24:20.000Z,"Heavy rain in cuddalore district . The torrential rain caused flood in many villages near kurinjipadi (tk) .The video taken in Kalkunam village.
Paddy crops drowned completely.
#CycloneBurevi
#chennairains
#Burevi
@CuddaloreColle1
 
@CMOTamilNadu
 
@polimernews
 
@PTTVEnglish",,1,1
vijayakumar,@iamvijayakumar,2020-12-04T04:16:45.000Z,"Wowwww..... Delta got pounded. Delta had more than 30% deficit #CycloneBureviKalyanasundaram
@kalyanasundarsv
 · 9h
Insane pounding happening in #Chidambaram #Cuddalore district.
Massive numbers recorded in Cuddalore district.
Chidambaram 340mm
Kothavacherry 335mm
Annamalai Nagar 329mm
Lalpet, 296mm
Parangipettai 264mm
Kattumannarkoil 253mm
Kurinjipadi 249mm
Video courtesy Social media.",,2,
MBC TV ODISHA,@MBCTVODISHA,2020-12-04T04:09:56.000Z,"#ଆଜି_ତାମିଲନାଡୁ_ଅତିକ୍ରମ_କରିବ_ଘୂର୍ଣ୍ଣିବାତ୍ୟା_ବୁରେଭି
ସାମୁଦ୍ରିକ ଘୂର୍ଣ୍ଣିବାତ୍ୟା ‘ବୁରେଭି’ ଗଭୀର ଅବପାତରେ ପରିଣତ ହୋଇ ଆଜି ସକାଳେ ଏହା ତାମିଲନାଡୁ ଉପକୂଳ ଅତିକ୍ରମ କରି ଅପରାହ୍ଣ ସୁଦ୍ଧା କେରଳରେ ପ୍ରବେଶ କରିବ ବୋଲି ଭାରତୀୟ ପାଣିପାଗ ବିଭାଗର ପୂର୍ବାନୁମାନରୁ ଜଣାପଡ଼ିଛି।

#WeatherUpdate #CycloneBurevi  #Tamilnadu",,,
__.abhinash,@digitalavinash_,2020-12-04T03:58:42.000Z,"Cyclone Burevi has weakened into a deep depression and will cross the Tamil Nadu coast on the morning of December 4, the India Meteorological Department (IMD) said on Thursday.

#CycloneBureviPMO India",,,
MOMO,@subra0912,2020-12-04T03:47:27.000Z,"One of the factors for #Burevi to remain stationary for so long in Gulf of Mannar....is this fellow on the otherside of Indian ocean..
 #Cyclone #BureviCyclone #CycloneBurevi #chennairains #Chennaiweather 
@IndiametdeptIndia Meteorological Department
@Indiametdept
 · 9h
Deep Depression over Gulf of Mannar at 0530 IST today is close to Ramanathapuram District coast remained practically stationary, about 40 km southwest of Ramanathapuram, 70 km west-southwest of Pamban . The associated wind speed is about 55-65 gusting to 75 kmph.",,2,
dinakaranonline,@dinakaranonline,2020-12-04T03:38:13.000Z,திருவனந்தபுரம் விமானநிலையம் தற்காலிகமாக மூடல்..! #CycloneBurevi #BureviCyclone #Burevi #Breaking #thiruvananthapuram,,16,1
DD News,@DDNewslive,2020-12-04T03:31:08.000Z,"#TamilNadu: Rameswaram in Ramanathapuram received 20cm of rainfall in the last 24 hours, ending 6am on Friday
#CycloneBurevi",1,68,4
Chennai Weather,@chennaiweather,2020-12-04T03:22:11.000Z,"Stalled as predicted yesterday!  #CycloneBureviIndia Meteorological Department
@Indiametdept
 · 9h
Deep Depression over Gulf of Mannar at 0530 IST today is close to Ramanathapuram District coast remained practically stationary, about 40 km southwest of Ramanathapuram, 70 km west-southwest of Pamban . The associated wind speed is about 55-65 gusting to 75 kmph.",3,91,5
CMA Vr. Dr. Pawan Jaiswal,@drpawanjaiswal,2020-12-04T03:13:10.000Z,"Hope #CycloneBurevi does zero damage --
My prayers and thoughts are with people of Kerala and Tamil Nadu!!",,5,1
Sun News,@sunnewstamil,2020-12-04T03:02:03.000Z,"#BREAKING | புயல் எதிரொலியாக பாம்பன் துறைமுகத்தில் 3-ம் எண் புயல் எச்சரிக்கை கூண்டு ஏற்றம்! 

#Sunnews | #CycloneBurevi | #Kanyakumari",,50,3
Sk,@Kumar62S,2020-12-04T02:49:59.000Z,"West TN  peoples 
#CycloneBurevi #NorthEastMonsoonRainstorm - வானிலை பதிவுகள்
@RainStorm_TN
 · 10h
Rains to continue over #Chennai for next 2hrs or so. Many 250mm rainfalls will be coming up from Delta. Deep depression stalling around GOM Gulf of Mannar its idle spot to give superb rains for Delta to Chennai stretch. Later today & tomo south& west TN will get Heavy spells.
Show this thread",,4,1
Jaswanth Weatherman,@JW_Chennai,2020-12-04T02:38:35.000Z,"#DeepDepression has stalled over GOM as expected by models and very heavy to extremely heavy rains possible in #Delta #Cuddalore belt. Heavy rains possible in #Chennai belt, STN. Another massive day ahead #CycloneBurevi heavy rains approaching some parts of #Chennai #chennairains",4,37,3
Patrika Hindi News,@PatrikaNews,2020-12-04T02:21:33.000Z,"मौसम विभाग ने जारी किया अलर्ट, देश के दो राज्यों से आज टकराएगा चक्रवाती तूफान बुरेवी, निलंबित की गईं उड़ान सेवाएं 
#CycloneBurevi #IMDAlertCyclone Burevi: आज तमिलनाडु-केरल के तट से टकराएगा 'बुरेवी', तैनात हुईं NDRF की टीमें
शुक्रवार को देश के दो राज्यों में टकराएगा Cyclone Burevi तमिलनाडु और केरल में प्रशासन ने तैनात की NDRF की टीमें वायुसेना और नौसेना भी अलर्ट पर, निलंबित रहेंगी उड़ान सेवाएं
patrika.com",,8,1
Metro News,@metronews_lk,2020-12-04T01:55:58.000Z,"இன்று (04-12-2020) வெள்ளிக்கிழமை வெளியான மெட்ரோ நியூஸின் வார இதழ் முதல் பக்கம்! http://metronews.lk
#lka, #SriLanka, #metronewslk, #Metronews. #Frontpages. #Rajinikanth #Frontpagestoday,#Covid19, #Colombo, #Mahaa, #Burevi, #CycloneBurevi",,3,2
Jaya Plus,@jayapluschannel,2020-12-04T01:28:57.000Z,"புரெவி புயல் காரணமாக மதுரை ராமேஸ்வரம், பாம்பன், தங்கச்சிமடம் ஆகிய பகுதியில் சூறைக்காற்றுடன் கனமழை. #CycloneBurevi #Cyclone #PureviCyclone #Tamilnadu #Weather",,8,1
